Vectorization_Method_and_lead,R_n,mean_AUC,std_AUC
Betti_Vectorization_V1_V2,R3,0.7108439201451906,0.03022599889745675
Betti_Vectorization_V1_V3,R3,0.47942251461988306,0.06489544751994292
Betti_Vectorization_V1_V3,R3,0.6475841903609598,0.04810672328589932
Betti_Vectorization_V1_V3,R3,0.665603448275862,0.0440569823887677
Betti_Vectorization_V1_V3,R3,0.6951824964710627,0.016750554600695598
Betti_Vectorization_V2_V3,R3,0.5077679471667674,0.05084577519302961
Betti_Vectorization_V2_V3,R3,0.6185798548094374,0.023188598301793473
Betti_Vectorization_V2_V3,R3,0.5984034079451502,0.08571473831255105
Betti_Vectorization_V2_V3,R3,0.6446521476104053,0.032691044590493525
Pers_Vec_Vectorization_all,R3,0.6659991933857633,0.08287738734464539
Pers_Vec_Vectorization_V1,R3,0.5605696713046986,0.09506693998430313
Pers_Vec_Vectorization_V2,R3,0.6010632183908046,0.0582883364472741
Pers_Vec_Vectorization_V3,R3,0.583214861867312,0.037420202351992
Pers_Vec_Vectorization_V1_V2,R3,0.6808061101028434,0.0651738084955955
Pers_Vec_Vectorization_V1_V3,R3,0.6518047993547087,0.05686492356227412
Pers_Vec_Vectorization_V2_V3,R3,0.6341591046581972,0.058362346898893955
Pers_Vec_Vectorization_nooverlap_all,R3,0.692499495866102,0.05164116822724621
Pers_Vec_Vectorization_nooverlap_V1,R3,0.5956079854809437,0.03241821001155538
Pers_Vec_Vectorization_nooverlap_V2,R3,0.5729189352692076,0.05142945035827747
Pers_Vec_Vectorization_nooverlap_V3,R3,0.5380016132284735,0.07654642461242175
Pers_Vec_Vectorization_nooverlap_V1_V2,R3,0.6771581972171808,0.04159589137486596
Pers_Vec_Vectorization_nooverlap_V1_V3,R3,0.6722786852187941,0.07084980347202673
Pers_Vec_Vectorization_nooverlap_V2_V3,R3,0.6297343214357733,0.0793714533913288
Pers_Vec_Vectorization_nocount_all,R3,0.5989115749142973,0.07342887172874586
Pers_Vec_Vectorization_nocount_V1,R3,0.5245024198427103,0.088310788134516
Pers_Vec_Vectorization_nocount_V2,R3,0.5340270215769307,0.06940691745434913
Pers_Vec_Vectorization_nocount_V3,R3,0.4975365497076023,0.056534100733365546
Pers_Vec_Vectorization_nocount_V1_V2,R3,0.5588596491228071,0.10426218406634094
Pers_Vec_Vectorization_nocount_V1_V3,R3,0.5761746319822545,0.06284231946202806
Pers_Vec_Vectorization_nocount_V2_V3,R3,0.5563077233313167,0.07140718692262811
Pers_Vec_Vectorization_nocount_nooverlap_all,R3,0.6195866102036701,0.01753892377365217
Pers_Vec_Vectorization_nocount_nooverlap_V1,R3,0.5801283020770317,0.03532341631696816
Pers_Vec_Vectorization_nocount_nooverlap_V2,R3,0.5898850574712645,0.06239156474165956
Pers_Vec_Vectorization_nocount_nooverlap_V3,R3,0.44409281105061504,0.03379833052642097
Pers_Vec_Vectorization_nocount_nooverlap_V1_V2,R3,0.6113934260939706,0.026069009836187276
Pers_Vec_Vectorization_nocount_nooverlap_V1_V3,R3,0.5831568864690462,0.07904940472693009
Pers_Vec_Vectorization_nocount_nooverlap_V2_V3,R3,0.5474213551119178,0.04150004190010673
Pers_Vec_Vectorization_noarea_all,R3,0.5069031054648114,0.03429344802586364
Pers_Vec_Vectorization_noarea_V1,R3,0.47356548699334544,0.09974335517907802
Pers_Vec_Vectorization_noarea_V2,R3,0.5117332123411977,0.05811412998639279
Pers_Vec_Vectorization_noarea_V3,R3,0.4945273744706594,0.08773808660911951
Pers_Vec_Vectorization_noarea_V1_V2,R3,0.5232846844121799,0.03738735103101304
Pers_Vec_Vectorization_noarea_V1_V3,R3,0.47942251461988306,0.06489544751994292
Pers_Vec_Vectorization_noarea_V2_V3,R3,0.5077679471667674,0.05084577519302961
Betti_Vectorization_all,R4,0.5126335954829603,0.0867789648389806
Betti_Vectorization_all,R4,0.6441177656785643,0.0557138274608557
Betti_Vectorization_all,R4,0.6826880419439403,0.06324182072905878
Betti_Vectorization_all,R4,0.7325630167372454,0.02102982077957594
Betti_Vectorization_V1,R4,0.5471158499697519,0.05572554791004676
Betti_Vectorization_V1,R4,0.5605303488606574,0.08609488166472498
Betti_Vectorization_V1,R4,0.5666001209921354,0.06397405679859801
Betti_Vectorization_V1,R4,0.7449758015728978,0.03292876656617329
Betti_Vectorization_V2,R4,0.4675811655575721,0.058709811259562684
Betti_Vectorization_V2,R4,0.4526073805202662,0.09829593395141319
Betti_Vectorization_V2,R4,0.5932955232909861,0.06005857301090276
Betti_Vectorization_V2,R4,0.5679632990522283,0.07147239093133814
Betti_Vectorization_V3,R4,0.5472610405323655,0.0661634344646539
Betti_Vectorization_V3,R4,0.5578508771929824,0.13011473659420383
Betti_Vectorization_V3,R4,0.5752702157693083,0.049619902576081974
Betti_Vectorization_V3,R4,0.5718340391207904,0.03133650145787432
Betti_Vectorization_V1_V2,R4,0.521455182496471,0.08012852274324851
Betti_Vectorization_V1_V2,R4,0.5702681992337164,0.06428109288397388
Betti_Vectorization_V1_V2,R4,0.637321536600121,0.03219330329142365
Betti_Vectorization_V1_V2,R4,0.7268436176648518,0.03092514975185489
Betti_Vectorization_V1_V3,R4,0.5396370235934663,0.053736953358878826
Betti_Vectorization_V1_V3,R4,0.613241580963904,0.0595727127153336
Betti_Vectorization_V1_V3,R4,0.6289992942125429,0.04918832421138358
Betti_Vectorization_V1_V3,R4,0.7046718088324259,0.03284960136818882
Betti_Vectorization_V2_V3,R4,0.5274087517644686,0.06647291071561147
Betti_Vectorization_V2_V3,R4,0.5882783827384553,0.09748772918702028
Betti_Vectorization_V2_V3,R4,0.6509835652349265,0.0618268309677663
Betti_Vectorization_V2_V3,R4,0.6391550715870136,0.042606927897291084
Pers_Vec_Vectorization_all,R4,0.6462295825771325,0.10033504368890357
Pers_Vec_Vectorization_V1,R4,0.5643602540834846,0.10395000155149652
Pers_Vec_Vectorization_V2,R4,0.47572746521476106,0.07551386361742261
Pers_Vec_Vectorization_V3,R4,0.5634704577535794,0.05881462982292416
Pers_Vec_Vectorization_V1_V2,R4,0.5849153055051421,0.10592437535824419
Pers_Vec_Vectorization_V1_V3,R4,0.6409820528332325,0.08506668754703357
Pers_Vec_Vectorization_V2_V3,R4,0.5761176648517847,0.08560869604280735
Pers_Vec_Vectorization_nooverlap_all,R4,0.6735304496874369,0.07984456279956023
Pers_Vec_Vectorization_nooverlap_V1,R4,0.5998195200645292,0.0782809758927028
Pers_Vec_Vectorization_nooverlap_V2,R4,0.5029950594877999,0.12188262665517374
Pers_Vec_Vectorization_nooverlap_V3,R4,0.5916137326073805,0.04869121433580597
Pers_Vec_Vectorization_nooverlap_V1_V2,R4,0.598021274450494,0.07415564350366147
Pers_Vec_Vectorization_nooverlap_V1_V3,R4,0.6454234724742892,0.06197703897373028
Pers_Vec_Vectorization_nooverlap_V2_V3,R4,0.5824369832627546,0.05531066737499996
Pers_Vec_Vectorization_nocount_all,R4,0.5956140350877194,0.10385155400497267
Pers_Vec_Vectorization_nocount_V1,R4,0.4980797539826578,0.1129043678745435
Pers_Vec_Vectorization_nocount_V2,R4,0.4832632587215164,0.047663200902550704
Pers_Vec_Vectorization_nocount_V3,R4,0.5302394636015325,0.06479673605081734
Pers_Vec_Vectorization_nocount_V1_V2,R4,0.559230691671708,0.09679749280512834
Pers_Vec_Vectorization_nocount_V1_V3,R4,0.6167503528937285,0.09153488756235385
Pers_Vec_Vectorization_nocount_V2_V3,R4,0.5672650736035492,0.07044847279946505
Pers_Vec_Vectorization_nocount_nooverlap_all,R4,0.6468360556563824,0.09527456087663234
Pers_Vec_Vectorization_nocount_nooverlap_V1,R4,0.6497915406331922,0.018231360507319366
Pers_Vec_Vectorization_nocount_nooverlap_V2,R4,0.5419300766283526,0.050030897310336206
Pers_Vec_Vectorization_nocount_nooverlap_V3,R4,0.5267949687436984,0.04069109142461584
Pers_Vec_Vectorization_nocount_nooverlap_V1_V2,R4,0.6100131074813471,0.04886801436200061
Pers_Vec_Vectorization_nocount_nooverlap_V1_V3,R4,0.6323588425085702,0.08158760141983071
Pers_Vec_Vectorization_nocount_nooverlap_V2_V3,R4,0.5397045775357936,0.10008412449851728
Pers_Vec_Vectorization_noarea_all,R4,0.5126335954829603,0.0867789648389806
Pers_Vec_Vectorization_noarea_V1,R4,0.5471158499697519,0.05572554791004676
Pers_Vec_Vectorization_noarea_V2,R4,0.4675811655575721,0.058709811259562684
Pers_Vec_Vectorization_noarea_V3,R4,0.5472610405323655,0.0661634344646539
Pers_Vec_Vectorization_noarea_V1_V2,R4,0.521455182496471,0.08012852274324851
Pers_Vec_Vectorization_noarea_V1_V3,R4,0.5396370235934663,0.053736953358878826
Pers_Vec_Vectorization_noarea_V2_V3,R4,0.5274087517644686,0.06647291071561147
