Vectorization_Method,Dimension,Leads,N,TIME
Pers_Vec_Vectorization_nooverlap,R2,_V2,0,1.7177248001098633
Pers_Vec_Vectorization_nooverlap,R2,_V3,0,1.7108609676361084
Pers_Vec_Vectorization_nooverlap,R2,_V1_V2,0,2.42913818359375
Pers_Vec_Vectorization_nooverlap,R2,_V1_V3,0,2.42651629447937
Pers_Vec_Vectorization_nooverlap,R2,_V2_V3,0,2.416844606399536
Pers_Vec_Vectorization_nooverlap,R3,_all,0,3.2355353832244873
Pers_Vec_Vectorization_nooverlap,R3,_V1,0,1.7724275588989258
Pers_Vec_Vectorization_nooverlap,R3,_V2,0,1.7520077228546143
Pers_Vec_Vectorization_nooverlap,R3,_V3,0,1.7408146858215332
Pers_Vec_Vectorization_nooverlap,R3,_V1_V2,0,2.511319875717163
Pers_Vec_Vectorization_nooverlap,R3,_V1_V3,0,2.5007779598236084
Pers_Vec_Vectorization_nooverlap,R3,_V2_V3,0,2.4796316623687744
Pers_Vec_Vectorization_nooverlap,R4,_all,0,3.287034749984741
Pers_Vec_Vectorization_nooverlap,R4,_V1,0,1.7952566146850586
Pers_Vec_Vectorization_nooverlap,R4,_V2,0,1.7676353454589844
Pers_Vec_Vectorization_nooverlap,R4,_V3,0,1.7487568855285645
Pers_Vec_Vectorization_nooverlap,R4,_V1_V2,0,2.5533061027526855
Pers_Vec_Vectorization_nooverlap,R4,_V1_V3,0,2.5433051586151123
Pers_Vec_Vectorization_nooverlap,R4,_V2_V3,0,2.5213263034820557
Pers_Vec_Vectorization_nocount,R2,_all,0,3.3170218467712402
Pers_Vec_Vectorization_nocount,R2,_V1,0,1.7791554927825928
Pers_Vec_Vectorization_nocount,R2,_V2,0,1.7712218761444092
Pers_Vec_Vectorization_nocount,R2,_V3,0,1.766993522644043
Pers_Vec_Vectorization_nocount,R2,_V1_V2,0,2.5436158180236816
Pers_Vec_Vectorization_nocount,R2,_V1_V3,0,2.5331337451934814
Pers_Vec_Vectorization_nocount,R2,_V2_V3,0,2.527798652648926
Pers_Vec_Vectorization_nocount,R3,_all,0,3.411771297454834
Pers_Vec_Vectorization_nocount,R3,_V1,0,1.827186107635498
Pers_Vec_Vectorization_nocount,R3,_V2,0,1.8092339038848877
Pers_Vec_Vectorization_nocount,R3,_V3,0,1.7951128482818604
Pers_Vec_Vectorization_nocount,R3,_V1_V2,0,2.618962287902832
Pers_Vec_Vectorization_nocount,R3,_V1_V3,0,2.6090307235717773
Pers_Vec_Vectorization_nocount,R3,_V2_V3,0,2.5867815017700195
Pers_Vec_Vectorization_nocount,R4,_all,0,3.4483649730682373
Pers_Vec_Vectorization_nocount,R4,_V1,0,1.8497908115386963
Pers_Vec_Vectorization_nocount,R4,_V2,0,1.823704719543457
Pers_Vec_Vectorization_nocount,R4,_V3,0,1.8045949935913086
Pers_Vec_Vectorization_nocount,R4,_V1_V2,0,2.665027141571045
Pers_Vec_Vectorization_nocount,R4,_V1_V3,0,2.645390510559082
Pers_Vec_Vectorization_nocount,R4,_V2_V3,0,2.6147820949554443
Pers_Vec_Vectorization_nocount_nooverlap,R2,_all,0,3.1312899589538574
Pers_Vec_Vectorization_nocount_nooverlap,R2,_V1,0,1.7231228351593018
Pers_Vec_Vectorization_nocount_nooverlap,R2,_V2,0,1.7143633365631104
Pers_Vec_Vectorization_nocount_nooverlap,R2,_V3,0,1.7104127407073975
Pers_Vec_Vectorization_nocount_nooverlap,R2,_V1_V2,0,2.4211947917938232
Pers_Vec_Vectorization_nocount_nooverlap,R2,_V1_V3,0,2.420423984527588
Pers_Vec_Vectorization_nocount_nooverlap,R2,_V2_V3,0,2.4108755588531494
Pers_Vec_Vectorization_nocount_nooverlap,R3,_all,0,3.22100830078125
Pers_Vec_Vectorization_nocount_nooverlap,R3,_V1,0,1.7768168449401855
Pers_Vec_Vectorization_nocount_nooverlap,R3,_V2,0,1.755629301071167
Pers_Vec_Vectorization_nocount_nooverlap,R3,_V3,0,1.7384836673736572
Pers_Vec_Vectorization_nocount_nooverlap,R3,_V1_V2,0,2.5024638175964355
Pers_Vec_Vectorization_nocount_nooverlap,R3,_V1_V3,0,2.4901530742645264
Pers_Vec_Vectorization_nocount_nooverlap,R3,_V2_V3,0,2.470299005508423
Pers_Vec_Vectorization_nocount_nooverlap,R4,_all,0,3.2702524662017822
Pers_Vec_Vectorization_nocount_nooverlap,R4,_V1,0,1.7934684753417969
Pers_Vec_Vectorization_nocount_nooverlap,R4,_V2,0,1.7658636569976807
Pers_Vec_Vectorization_nocount_nooverlap,R4,_V3,0,1.7466673851013184
Pers_Vec_Vectorization_nocount_nooverlap,R4,_V1_V2,0,2.541996479034424
Pers_Vec_Vectorization_nocount_nooverlap,R4,_V1_V3,0,2.5249996185302734
Pers_Vec_Vectorization_nocount_nooverlap,R4,_V2_V3,0,2.4956159591674805
Pers_Vec_Vectorization_noarea,R2,_all,0,2.9399144649505615
Pers_Vec_Vectorization_noarea,R2,_V1,0,1.6542000770568848
Pers_Vec_Vectorization_noarea,R2,_V2,0,1.6482439041137695
Pers_Vec_Vectorization_noarea,R2,_V3,0,1.6430318355560303
Pers_Vec_Vectorization_noarea,R2,_V1_V2,0,2.2873871326446533
Pers_Vec_Vectorization_noarea,R2,_V1_V3,0,2.284287214279175
Pers_Vec_Vectorization_noarea,R2,_V2_V3,0,2.2740767002105713
Pers_Vec_Vectorization_noarea,R3,_all,0,3.0080764293670654
Pers_Vec_Vectorization_noarea,R3,_V1,0,1.6955852508544922
